"CODI_DIVISIO_TERRITORIAL","NOM_DIVISIO_TERRITORIAL","CATEGORIA_DIVISIO","CODI_DIVISIO_TERRITORIAL_PARE","URL_FITXA_DIVISIO_TERRITORIAL"
"B-01","el Raval","Barri","D-01","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri1.pdf"
"B-02","el Barri Gòtic","Barri","D-01","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri2.pdf"
"B-03","la Barceloneta","Barri","D-01","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri3.pdf"
"B-04","Sant Pere, Santa Caterina i la Ribera","Barri","D-01","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri4.pdf"
"B-05","el Fort Pienc","Barri","D-02","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri5.pdf"
"B-06","la Sagrada Família","Barri","D-02","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri6.pdf"
"B-07","la Dreta de l'Eixample","Barri","D-02","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri7.pdf"
"B-08","l'Antiga Esquerra de l'Eixample","Barri","D-02","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri8.pdf"
"B-09","la Nova Esquerra de l'Eixample","Barri","D-02","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri9.pdf"
"B-10","Sant Antoni","Barri","D-02","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri10.pdf"
"B-11","el Poble-sec","Barri","D-03","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri11.pdf"
"B-12","la Marina del Prat Vermell","Barri","D-03","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri12.pdf"
"B-13","la Marina de Port","Barri","D-03","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri13.pdf"
"B-14","la Font de la Guatlla","Barri","D-03","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri14.pdf"
